Date,NFP M/M - 1 Month Ahead,NFP M/M - Next 3 Months,1M Chg - 3M Avg,3M Avg - Prev. 3M Avg.
5/31/2015,155,590,124.67,-9.67
4/30/2015,338,787,92,-39
3/31/2015,278,771,-151.67,-81.67
2/28/2015,95,711,14.67,-30.33
1/31/2015,267,640,-71.67,9.33
12/31/2014,196,558,0,24.33
11/30/2014,277,740,41,24.67
10/31/2014,284,757,-1.33,-16.33
9/30/2014,242,803,52.67,-39
8/31/2014,305,831,-77.33,-12.33
7/31/2014,182,729,-39.33,10.67
6/30/2014,243,730,67.33,76.33
5/31/2014,332,757,-45.67,133.67
4/30/2014,203,778,106,77.67
3/31/2014,312,847,148,23
2/28/2014,279,794,-16,-95.33
1/31/2014,155,746,1,-45
12/31/2013,184,618,-172.33,-0.33
11/30/2013,54,393,59,45
10/31/2013,275,513,36.67,44.33
9/30/2013,220,549,2.67,-10
8/31/2013,184,679,72.33,-1
7/31/2013,244,648,-71.33,-32
6/30/2013,122,550,-4.33,-11.33
5/31/2013,178,544,11.33,-54.33
4/30/2013,215,515,-17.67,5.67
3/31/2013,187,580,-91.67,17
2/28/2013,145,547,81,68.67
1/31/2013,279,611,2.33,25.33
12/31/2012,190,614,73,19.33
11/30/2012,241,710,-9.67,36.33
10/31/2012,163,594,-9.33,64
9/30/2012,159,563,50.33,80.67
8/31/2012,182,504,68.33,-7.33
7/31/2012,177,518,58.33,-85
6/30/2012,146,505,-67,-193.33
5/31/2012,72,395,-85.67,-133.33
4/30/2012,108,326,-198,-36
3/31/2012,83,263,-46.33,95.67
2/29/2012,226,417,42.33,80
1/31/2012,272,581,159.67,41
12/31/2011,345,843,7.67,49
11/30/2011,200,817,-44.67,52.33
10/31/2011,144,689,75.67,59.67
9/30/2011,212,556,81,-83.33
8/31/2011,221,577,4,-77.33
7/31/2011,133,566,-164.67,-125
6/30/2011,55,409,14.67,72.33
5/31/2011,232,420,-154,118
4/30/2011,100,387,179.67,180
3/31/2011,327,659,125.67,-18
2/28/2011,225,652,136,-10.67
1/31/2011,210,762,-158.33,7.33
12/31/2010,7,442,-29,219.33
11/30/2010,81,298,67.33,183.67
10/31/2010,134,222,335,-35
9/30/2010,281,496,-11.33,-266.33
8/31/2010,-85,330,-97.67,-388.67
7/31/2010,4,200,-293.33,-4
6/30/2010,-81,-162,-459,193.67
5/31/2010,-144,-221,424.33,434.67
4/30/2010,530,305,232.33,193.67
3/31/2010,251,637,283.67,162.67
2/28/2010,164,945,-10,20.67
1/31/2010,-98,317,134,111.67
12/31/2009,-10,56,-110.67,110
11/30/2009,-251,-359,196.67,189.67
10/31/2009,-3,-264,76,188.33
9/30/2009,-178,-432,90,243
8/31/2009,-240,-421,207,283.67
7/31/2009,-181,-599,156,360
6/30/2009,-341,-762,145.67,288.33
5/31/2009,-468,-990,393,131.33
4/30/2009,-355,-1164,117.33,-6.33
3/31/2009,-668,-1491,-73,-149
2/28/2009,-818,-1841,-16.33,-190.67
1/31/2009,-758,-2244,-143.67,-342.33
12/31/2008,-780,-2356,-142.67,-326
11/30/2008,-697,-2235,-348.67,-341.67
10/31/2008,-748,-2225,-153.67,-217.33
9/30/2008,-464,-1909,-238.33,-121.67
8/31/2008,-451,-1663,-101,-54
7/31/2008,-283,-1198,-8.33,-61.67
6/30/2008,-197,-931,0.67,-141
5/31/2008,-158,-638,-70.67,-169
4/30/2008,-191,-546,-169.33,-195.33
3/31/2008,-217,-566,-78.33,-146
2/29/2008,-68,-476,-151,-81.33
1/31/2008,-76,-361,-97.33,31
12/31/2007,1,-143,14.33,88
11/30/2007,106,31,74,83.67
10/31/2007,118,225,60.67,-22.33
9/30/2007,71,295,78,-86.67
8/31/2007,86,275,-91.33,-138.33
7/31/2007,-25,132,-127,-56
6/30/2007,-30,31,-67.33,-79
5/31/2007,79,24,27.67,-16
4/30/2007,150,199,-114,-84.67
3/31/2007,62,291,64.67,40
2/28/2007,227,439,-129,39.33
1/31/2007,78,367,87,96.33
12/31/2006,223,528,63,-36.67
11/30/2006,186,487,101.33,-27.67
10/31/2006,212,621,-162.67,5
9/30/2006,10,408,-3.67,79.67
8/31/2006,147,369,69.33,-18.67
7/31/2006,175,332,103,-152.67
6/30/2006,196,518,-88.33,-205.33
5/31/2006,81,452,-218.33,-77.67
4/30/2006,40,317,-140.33,0.67
3/31/2006,158,279,63,103.33
2/28/2006,310,508,49.33,82
1/31/2006,307,775,83,138
12/31/2005,278,895,-9,-13.67
11/30/2005,156,741,219.33,-105.33
10/31/2005,339,773,-118.67,-139.67
9/30/2005,90,585,-204.33,-53
8/31/2005,66,495,-56.33,51.67
7/31/2005,203,359,95.33,11
6/30/2005,357,626,32.33,85.67
5/31/2005,251,811,-78.33,42.33
4/30/2005,170,778,188,140
3/31/2005,364,785,-54.33,-1.33
2/28/2005,122,656,150.67,-12.33
1/31/2005,259,745,-30.33,-92.33
12/31/2004,147,528,-65.67,75.67
11/30/2004,123,529,-145.67,107
10/31/2004,55,325,252.33,54.67
9/30/2004,354,532,75.33,-115.33
8/31/2004,157,566,-55,-207
7/31/2004,91,602,-160,-67
6/30/2004,57,305,-191.67,33.33
5/31/2004,97,245,71,170.67
4/30/2004,284,438,86.33,108.33
3/31/2004,270,651,194,75
2/29/2004,312,866,-47.67,10.33
1/31/2004,57,639,73.33,16
12/31/2003,182,551,7.33,85.33
11/30/2003,115,354,-71.67,122
10/31/2003,17,314,170.67,84.33
9/30/2003,194,326,126.33,35.67
8/31/2003,112,323,-44.33,69.33
7/31/2003,-40,266,10.33,138.33
6/30/2003,-2,70,82.67,68.33
5/31/2003,-1,-43,150,-26.67
4/30/2003,16,13,28.67,-118.33
3/31/2003,-52,-37,-158,-68.67
2/28/2003,-215,-251,-119.33,-66.67
1/31/2003,-135,-402,120,-28.67
12/31/2002,108,-242,-153.67,45
11/30/2002,-144,-171,-24,24.33
10/31/2002,-11,-47,176,23.67
9/30/2002,119,-36,-64.33,-44.67
8/31/2002,-79,29,9.67,20.33
7/31/2002,-1,39,-78.67,66.67
6/30/2002,-91,-171,83,76
5/31/2002,48,-44,88.33,100.33
4/30/2002,11,-32,-7.67,122.67
3/31/2002,-96,-37,115.33,176.33
2/28/2002,-20,-105,84,159.67
1/31/2002,-116,-232,135.67,39.67
12/31/2001,-129,-265,134,-91
11/30/2001,-161,-406,-70.33,-167.33
10/31/2001,-310,-600,-149.33,-143.67
9/30/2001,-323,-794,-124.33,-24
8/31/2001,-252,-885,-48,-1.67
7/31/2001,-144,-719,24.67,-17
6/30/2001,-125,-521,12,-162.67
5/31/2001,-114,-383,30,-204
4/30/2001,-49,-288,-299,-194.67
3/31/2001,-286,-449,-121,-106.33
2/28/2001,-43,-378,-23.67,-32
1/31/2001,92,-237,-129.33,76.33
12/31/2000,-10,39,42,24.33
11/30/2000,152,234,165.67,69.33
10/31/2000,205,347,-94,-76.33
9/30/2000,1,358,83.33,-61.67
8/31/2000,124,330,-122.67,-286.67
7/31/2000,-7,118,11.33,-177.67
6/30/2000,168,285,-366.33,-117.67
5/31/2000,-39,122,-75.33,108.33
4/30/2000,218,347,16.67,16.67
3/31/2000,291,470,254,-60.67
2/29/2000,473,982,-160.67,-82
1/31/2000,116,880,-101,20
12/31/1999,234,823,6,107.67
11/30/1999,307,657,32.33,49.67
10/31/1999,289,830,181.67,-13.33
9/30/1999,409,1005,-46.33,-59.33
8/31/1999,205,903,-114,21
7/31/1999,156,770,34.33,-29
6/30/1999,321,682,46.67,76
5/31/1999,277,754,-87,-65.67
4/30/1999,212,810,160.33,50.67
3/31/1999,371,860,-188,-70.33
2/28/1999,108,691,169.67,65.33
1/31/1999,418,897,-175,-3.33
12/31/1998,106,632,133.33,55.33
11/30/1998,364,888,23.33,-1.33
10/31/1998,275,745,-21.67,-1.67
9/30/1998,204,843,-19,-78.67
8/31/1998,213,692,84.67,-45
7/31/1998,338,755,-178.33,43.33
6/30/1998,126,677,-45,99.33
5/31/1998,232,696,192,17.67
4/30/1998,402,760,74,-84.33
3/31/1998,279,913,-109.33,-116.67
2/28/1998,150,831,-93.33,-123
1/31/1998,201,630,-57.67,20.67
12/31/1997,264,615,-69.33,65.33
11/30/1997,313,778,32.33,201.67
10/31/1997,306,883,89.67,-0.67
9/30/1997,346,965,314.33,-19
8/31/1997,495,1147,-294.33,-111
7/31/1997,-20,821,18.67,-33.67
6/30/1997,294,769,-23.67,-7
5/31/1997,268,542,-47,54
4/30/1997,261,823,14.67,75.33
3/31/1997,297,826,79.33,37.67
2/28/1997,317,875,77.33,-16.33
1/31/1997,310,924,-24.67,14.67
12/31/1996,220,847,-71,31.33
11/30/1996,183,713,77,17
10/31/1996,295,698,42.67,-66
9/30/1996,256,734,-26,-45.67
8/31/1996,211,762,-97,-13.67
7/31/1996,187,654,-17,2.33
6/30/1996,242,640,31.33,34.67
5/31/1996,282,711,46.33,63.33
4/30/1996,328,852,-57.33,186.67
3/31/1996,167,777,69.67,75.33
2/29/1996,257,752,326,7.33
1/31/1996,421,845,-154,-122.33
12/31/1995,-5,673,-34,-47
11/30/1995,146,562,-73.33,-15.33
10/31/1995,144,285,-39,114
9/30/1995,157,447,43.67,69.33
8/31/1995,239,540,152.67,77.33
7/31/1995,256,652,-33.67,-86
6/30/1995,93,588,119,-120.67
5/31/1995,237,586,-209.33,-157.33
4/30/1995,-20,310,-84.33,-158.67
3/31/1995,163,380,-64.33,-59.33
2/28/1995,211,354,-154,-49.33
1/31/1995,194,568,30.33,64.33
12/31/1994,337,742,-29.67,-29.67
11/30/1994,295,826,128.33,0
10/31/1994,412,1044,-123.33,-56.67
9/30/1994,213,920,24.33,5
8/31/1994,349,974,-51.33,-56.33
7/31/1994,289,851,39.67,10
6/30/1994,371,1009,-67,21.67
5/31/1994,314,974,5.67,116
4/30/1994,336,1021,34.33,42.33
3/31/1994,344,994,198,20.67
2/28/1994,463,1143,-104,5.33
1/31/1994,184,991,-7,61.33
12/31/1993,282,929,69.33,55.67
11/30/1993,329,795,26.33,47
10/31/1993,253,864,51.67,-25
9/30/1993,285,867,28.33,-17.67
8/31/1993,241,779,-97.67,37.33
7/31/1993,154,680,54,84
6/30/1993,305,700,3.67,84.33
5/31/1993,179,638,103.33,-81.33
4/30/1993,271,755,136.33,-50.67
3/31/1993,303,753,-304.67,-12
2/28/1993,-48,526,29.67,140.67
1/31/1993,248,503,121.33,101.67
12/31/1992,300,500,106,97.33
11/30/1992,222,770,16.33,23.67
10/31/1992,133,655,99.67,26.33
9/30/1992,181,536,-58.33,-35.67
8/31/1992,34,348,44.67,-20.67
7/31/1992,135,350,-42,40
6/30/1992,75,244,-46,104.33
5/31/1992,67,277,78.67,107.67
4/30/1992,129,271,142.33,45.33
3/31/1992,155,351,49.67,15.33
2/29/1992,55,339,-64,10.67
1/31/1992,-59,151,44.67,-16.67
12/31/1991,42,38,38.33,-3
11/30/1991,33,16,-81.67,-26
10/31/1991,-60,15,18.67,46.67
9/30/1991,19,-8,4.33,80
8/31/1991,25,-16,46,182
7/31/1991,21,65,34.67,204.67
6/30/1991,-45,1,247.33,117.33
5/31/1991,86,62,113.67,-2
4/30/1991,-116,-75,-12,-126
3/31/1991,-209,-239,0.33,-79.33
2/28/1991,-159,-484,-217.33,-24.67
1/31/1991,-321,-689,6.67,48.67
12/31/1990,-111,-591,88.67,-5.33
11/30/1990,-46,-478,-1.67,-60.67
10/31/1990,-154,-311,-40.67,-197.67
9/30/1990,-153,-353,-23,-183.33
8/31/1990,-97,-404,-252.33,-208.67
7/31/1990,-207,-457,-104,-118.33
6/30/1990,-33,-337,-116.67,-198.33
5/31/1990,18,-222,-12.67,-93
4/30/1990,151,136,-225.33,-76.67
3/31/1990,44,213,-18.67,113.67
2/28/1990,209,404,-2.33,17
1/31/1990,238,491,205.33,104.67
12/31/1989,361,808,-126.67,41.67
11/30/1989,84,683,140.33,141.67
10/31/1989,276,721,-7,43
9/30/1989,107,467,180,-21.33
8/31/1989,249,632,-41.67,-93
7/31/1989,51,407,-93.33,-117.33
6/30/1989,42,342,-48,-105.67
5/31/1989,114,207,-88,-108
4/30/1989,122,278,-71,-85
3/31/1989,170,406,-76,-54
2/28/1989,194,486,-29,-44.33
1/31/1989,266,630,-32,53
12/31/1988,263,723,-33.33,66
11/30/1988,281,810,99,77
10/31/1988,341,885,34,-30.67
9/30/1988,263,885,101.67,-50
8/31/1988,339,943,-148.67,-12
7/31/1988,124,726,-55,-53.67
6/30/1988,224,687,114.67,3
5/31/1988,364,712,-96.33,-31.33
4/30/1988,230,818,-33,121.33
3/31/1988,243,837,-5.67,-62
2/29/1988,275,748,256,-36.67
1/31/1988,461,979,-246,-92
12/31/1987,92,828,-28.33,89
11/30/1987,289,842,-63,86.67
10/31/1987,234,615,242,47.67
9/30/1987,491,1014,-3.67,3.67
8/31/1987,227,952,-76.33,-39
7/31/1987,173,891,101.67,-24.33
6/30/1987,347,747,-97.67,27
5/31/1987,172,692,-44.67,66
4/30/1987,229,748,116.67,88
3/31/1987,335,736,41.33,26.67
2/28/1987,245,809,55.33,-36.33
1/31/1987,241,821,-22.67,-30.33
12/31/1986,169,655,-39,-68
11/30/1986,201,611,-29,126.67
10/31/1986,187,557,-72.67,98.67
9/30/1986,187,575,232.67,186
8/31/1986,346,720,-2.33,-20.33
7/31/1986,115,648,244.33,-12.33
6/30/1986,318,779,-226.67,-34.67
5/31/1986,-93,340,-2.67,-1
4/30/1986,127,352,78.67,-36.67
3/31/1986,187,221,-47.67,-79.67
2/28/1986,87,401,-51.33,-66.33
1/31/1986,115,389,-65,-28.67
12/31/1985,123,325,-35,-7.33
11/30/1985,166,404,15,25
10/31/1985,210,499,-7.33,-8.33
9/30/1985,188,564,29,-10.33
8/31/1985,205,603,-11.33,-93.67
7/31/1985,192,585,-16.67,-18.67
6/30/1985,189,586,-122.67,-39.33
5/31/1985,147,528,52,96
4/30/1985,274,610,-49,-25.67
3/31/1985,196,617,165.33,-9.33
2/28/1985,339,809,-116.67,-143
1/31/1985,131,666,10.67,-32.33
12/31/1984,265,735,-191.67,-34
11/30/1984,125,521,73,5.33
10/31/1984,353,743,-3.33,-52.33
9/30/1984,285,763,0.67,-61.67
8/31/1984,312,950,-89.33,-2.33
7/31/1984,243,840,-40,-40.67
6/30/1984,310,865,67.33,-49.67
5/31/1984,381,934,-67,-113.67
4/30/1984,306,997,-36.67,-11.33
3/31/1984,363,1050,-155.33,72
2/29/1984,272,941,99.67,-154.67
1/31/1984,484,1119,115.33,23.33
12/31/1983,443,1199,-227,-81
11/30/1983,355,1282,-6,420.33
10/31/1983,355,1153,-135.67,3.33
9/30/1983,273,983,956.33,98.33
8/31/1983,1118,1746,-665.67,-80.67
7/31/1983,-308,1083,105.67,233
6/30/1983,416,1226,134.67,204
5/31/1983,377,485,155.33,198.67
4/30/1983,280,1073,167.67,97
3/31/1983,274,931,129.33,243.67
2/28/1983,173,727,-100.67,236
1/31/1983,-73,374,356.33,232.33
12/31/1982,219,319,177.33,90
11/30/1982,-15,131,83.67,55.67
10/31/1982,-121,83,-48.67,5
9/30/1982,-276,-412,68,-37.67
8/31/1982,-180,-577,51.67,-96
7/31/1982,-158,-614,-154.33,-71.33
6/30/1982,-344,-682,-90,-36
5/31/1982,-242,-744,95.33,50.67
4/30/1982,-43,-629,-130.33,133.33
3/31/1982,-284,-569,73.67,40.33
2/28/1982,-129,-456,269.67,-71.33
1/31/1982,-2,-415,-136,-198
12/31/1981,-330,-461,-144.67,-189.67
11/30/1981,-276,-608,-135.33,-221
10/31/1981,-209,-815,-92.67,-179.67
9/30/1981,-97,-582,-177.67,-97.67
8/31/1981,-88,-394,-142,26
7/31/1981,-36,-221,17.67,22.67
6/30/1981,111,-13,130.33,4.33
5/31/1981,194,269,-70.33,-55.67
4/30/1981,13,318,-16,-97.67
3/31/1981,73,280,-14.33,-154.33
2/28/1981,105,191,-109,-96.67
1/31/1981,72,250,-153.33,-35.67
12/31/1980,90,267,-20,206
11/30/1980,196,358,40.33,323
10/31/1980,257,543,239.67,553
9/30/1980,277,730,221,335
8/31/1980,114,648,595.33,47.33
7/31/1980,259,650,36.67,-352.67
6/30/1980,-261,112,-164.67,-405
5/31/1980,-319,-321,-445.33,-257.67
4/30/1980,-429,-1009,-252.33,-90
3/31/1980,-145,-893,7.67,-7.67
2/29/1980,111,-463,-23.33,12.33
1/31/1980,83,49,13,18.33
12/31/1979,128,322,8,42
11/30/1979,99,310,4,-79.33
10/31/1979,92,319,81,-178.67
9/30/1979,154,345,-143.33,-136.67
8/31/1979,27,273,-183.67,-74.33
7/31/1979,83,264,-100.67,63.67
6/30/1979,109,219,74.33,-59.67
5/31/1979,319,511,169,23.33
4/30/1979,372,800,-331.33,-81
3/31/1979,-62,629,202.67,-80.67
2/28/1979,424,734,-37,-81.33
1/31/1979,247,609,-213,33.33
12/31/1978,137,808,-22.67,126.33
11/30/1978,280,664,184.33,-22
10/31/1978,435,852,111.33,-96.67
9/30/1978,335,1050,-186.67,-273
8/31/1978,138,908,-68.33,-195.67
7/31/1978,279,752,-242.67,-175.33
6/30/1978,254,671,-79.33,146.67
5/31/1978,441,974,-175.67,262
4/30/1978,347,1042,352,258
3/31/1978,702,1490,253.67,57.33
2/28/1978,512,1561,89.33,-107.67
1/31/1978,354,1568,-108.67,-57.33
12/31/1977,184,1050,-129,-55.33
11/30/1977,237,775,51,37
10/31/1977,373,794,-80,-46.67
9/30/1977,268,878,128,-17.67
8/31/1977,457,1098,-127.67,-37.67
7/31/1977,241,966,-19.67,22.67
6/30/1977,346,1044,33.33,51.33
5/31/1977,400,987,14,117.33
4/30/1977,360,1106,22.67,86.33
3/31/1977,337,1097,153.67,129
2/28/1977,403,1100,38.33,70.67
1/31/1977,298,1038,56.67,138.33
12/31/1976,242,943,29.33,13.33
11/30/1976,208,748,207.67,48
10/31/1976,329,779,-153,36.33
9/30/1976,19,556,57.33,62.67
8/31/1976,188,536,72,-34.67
7/31/1976,157,364,61.67,-178
6/30/1976,171,516,-101.33,-234.33
5/31/1976,64,392,-243,-211.67
4/30/1976,20,255,-99.67,-58
3/31/1976,244,328,-145,80.67
2/29/1976,232,496,-8,199.67
1/31/1976,313,789,223,64.33
12/31/1975,486,1031,154.67,27.33
11/30/1975,332,1131,-111.67,1
10/31/1975,145,963,76.33,153.33
9/30/1975,312,789,-101.33,278
8/31/1975,75,532,279.67,274.33
7/31/1975,383,770,291.33,381
6/30/1975,249,707,-5,292.33
5/31/1975,-103,529,441.67,351
4/30/1975,164,310,146.67,168
3/31/1975,-188,-127,179,-15.33
2/28/1975,-270,-294,70.67,-331
1/31/1975,-375,-833,-39.67,-443.67
12/31/1974,-359,-1004,-495,-321.33
11/30/1974,-613,-1347,-363,-141.33
10/31/1974,-365,-1337,18,-86.67
9/30/1974,20,-958,-32.33,-100.67
8/31/1974,-9,-354,-101.67,-75
7/31/1974,-17,-6,-70.67,-9.33
6/30/1974,32,6,-43.33,14.33
5/31/1974,55,70,73,-13
4/30/1974,167,254,-2.33,-70.33
3/31/1974,86,308,-69.33,-163.33
2/28/1974,42,295,-10.33,-139.33
1/31/1974,154,282,-182.67,-67
12/31/1973,69,265,-139.67,122
11/30/1973,111,334,81.67,77.33
10/31/1973,313,493,201.33,78.67
9/30/1973,331,755,-65.33,-71.33
8/31/1973,108,752,102.33,-38
7/31/1973,255,694,-175,-126.67
6/30/1973,26,389,27.67,-137.67
5/31/1973,239,520,-86.33,-135.67
4/30/1973,193,458,-167.67,-35
3/31/1973,171,603,-77,4
2/28/1973,270,634,82.67,69.67
1/31/1973,397,838,14.33,-7.33
12/31/1972,349,1016,17.67,166
11/30/1972,295,1041,-22.67,53.33
10/31/1972,299,943,241.33,139.33
9/30/1972,410,1004,-101,-102.67
8/31/1972,123,832,249.67,-49.67
7/31/1972,432,965,-320.33,-58
6/30/1972,-49,506,15.33,-7
5/31/1972,289,672,66.67,6.67
4/30/1972,307,547,-60.33,-26
3/31/1972,218,814,29,113.33
2/29/1972,296,821,-59.33,109
1/31/1972,207,721,167,157.33
12/31/1971,332,835,104,45
11/30/1971,262,801,96,116
10/31/1971,205,799,-92,16
9/30/1971,28,495,199,-11.33
8/31/1971,241,474,-35,-104.67
7/31/1971,58,327,-70.33,36
6/30/1971,61,360,-139.67,108.67
5/31/1971,7,126,154,14
4/30/1971,211,279,153.33,-57.67
3/31/1971,176,394,-79.67,73.33
2/28/1971,53,440,-172.67,308.67
1/31/1971,-58,171,123.67,292
12/31/1970,73,68,559,-22.33
11/30/1970,383,398,65.33,-113.67
10/31/1970,-112,344,-394.67,-79
9/30/1970,-423,-152,69.33,112.33
8/31/1970,7,-528,-17.67,-2
7/31/1970,-116,-532,164.67,-155.67
6/30/1970,24,-85,-34.67,-210.67
5/31/1970,-95,-187,-281.33,-133.33
4/30/1970,-224,-295,-173,39
3/31/1970,-103,-422,73,-39
2/28/1970,146,-181,110.67,47
1/31/1970,129,172,-174,-112.33
12/31/1969,-65,210,129,16.33
11/30/1969,155,219,-165.67,-200.67
10/31/1969,-35,55,114.33,-88.33
9/30/1969,207,327,-320.67,-151
8/31/1969,-94,78,60,17
7/31/1969,279,392,-150.67,8
6/30/1969,93,278,98.33,24.67
5/31/1969,308,680,45,-28.67
4/30/1969,256,657,-52,-28.33
3/31/1969,167,731,-32.33,-35.67
2/28/1969,206,629,20.67,20.33
1/31/1969,260,633,-63.67,41
12/31/1968,191,657,46,61.67
11/30/1968,264,715,64.67,-8
10/31/1968,263,718,44,8.33
9/30/1968,237,764,-72,-10.33
8/31/1968,154,654,14,80.33
7/31/1968,204,595,17.67,-60.67
6/30/1968,221,579,107.33,71.67
5/31/1968,253,678,-154.67,-25
4/30/1968,96,570,129.33,57.67
3/31/1968,261,610,-90.67,-113.67
2/29/1968,80,437,218,-16
1/31/1968,411,752,-341.33,80.67
12/31/1967,-96,395,10.33,107.33
11/30/1967,197,512,365.67,12.33
10/31/1967,478,579,-77,-28.33
9/30/1967,61,736,-153.33,64.67
8/31/1967,21,560,114.33,110.67
7/31/1967,255,337,64.67,121
6/30/1967,138,414,66.33,-37
5/31/1967,130,523,134.33,-73
4/30/1967,154,422,-174.33,-164.67
3/31/1967,-64,220,-35.67,-75
2/28/1967,101,191,-162.33,-34
1/31/1967,22,59,22.67,0
12/31/1966,208,331,9.33,8
11/30/1966,180,410,-19.33,-94.33
10/31/1966,165,553,33.67,-103.67
9/30/1966,211,556,-129,-129
8/31/1966,136,512,-82,-40.33
7/31/1966,206,553,-116.33,-14.67
6/30/1966,190,532,93.67,16.33
5/31/1966,399,795,-27.67,38.67
4/30/1966,275,864,-45,32.67
3/31/1966,245,919,129.33,12.67
2/28/1966,396,916,-3,10.67
1/31/1966,267,908,-70.33,18.67
12/31/1965,207,870,70,10.67
11/30/1965,326,800,25.67,10.33
10/31/1965,277,810,-37.67,16
9/30/1965,229,832,16.33,37.67
8/31/1965,262,768,27.67,15.33
7/31/1965,263,754,46,9.67
6/30/1965,275,800,-31.33,35
5/31/1965,199,737,6.33,36.33
4/30/1965,232,706,62,-37.33
3/31/1965,256,687,9,21.33
2/28/1965,203,691,-45,-5.67
1/31/1965,218,677,-11.67,136
12/31/1964,161,582,3.33,-55.33
11/30/1964,203,582,298,23
10/31/1964,425,789,-338,-36.33
9/30/1964,-110,518,107.33,120.67
8/31/1964,284,599,43.67,64.67
7/31/1964,207,381,85.67,18.33
6/30/1964,193,684,18,-71.33
5/31/1964,130,530,22,-54
4/30/1964,167,490,-153.67,77
3/31/1964,25,322,-22,84.33
2/29/1964,144,336,198,51
1/31/1964,266,435,31.67,-95
12/31/1963,126,536,-9,-45.33
11/30/1963,106,498,-191,17
10/31/1963,-28,204,65.33,91.67
9/30/1963,205,283,70,26.67
8/31/1963,168,345,44.67,-30.67
7/31/1963,116,489,22,-83.67
6/30/1963,135,419,-85.67,15.67
5/31/1963,43,294,-119,70.67
4/30/1963,36,214,162.67,130.33
3/31/1963,260,339,32,80.67
2/28/1963,90,386,90.33,-14.67
1/31/1963,115,465,70.33,-73.67
12/31/1962,87,292,-100.67,-94.67
11/30/1962,-28,174,-83.33,2.67
10/31/1962,15,74,-48.33,50.33
9/30/1962,63,50,70,-11.67
8/31/1962,140,218,44,-76.67
7/31/1962,92,295,-21,-189
6/30/1962,102,334,-130.67,-11.33
5/31/1962,16,210,-211,-2
4/30/1962,26,144,192.67,114
3/31/1962,327,369,-61.67,-27
2/28/1962,87,440,174,0.67
1/31/1962,297,711,-142.33,-10
12/31/1961,19,403,-18,24.33
11/30/1961,130,446,87,-22.67
10/31/1961,220,369,-3,-32.33
9/30/1961,134,484,-80.67,31
8/31/1961,90,444,9.67,94.33
7/31/1961,175,399,40,184
6/30/1961,146,411,114.67,133.67
5/31/1961,191,512,177.67,211
4/30/1961,159,496,-4.33,134.33
3/31/1961,-32,318,236.67,134
2/28/1961,102,229,27,-31
1/31/1961,-126,-56,102.67,-98.33
12/31/1960,-59,-83,-115.33,-121.33
11/30/1960,-219,-404,-126.33,-36
10/31/1960,-181,-459,-44.67,114.33
9/30/1960,-85,-485,22.67,-5
8/31/1960,-45,-311,135,-55
7/31/1960,-34,-164,-6.67,-348.67
6/30/1960,-42,-121,-114.33,-128.67
5/31/1960,-127,-203,-517.67,-305.67
4/30/1960,-338,-507,265.67,-125.67
3/31/1960,359,-106,-352,-155.33
2/29/1960,-59,-38,-66.33,193.67
1/31/1960,239,539,-148.67,454
12/31/1959,100,280,440.67,333
11/30/1959,540,879,424.67,170.67
10/31/1959,276,916,14.33,-309.67
9/30/1959,-70,746,163.33,-306.67
8/31/1959,92,298,-629,-358.67
7/31/1959,-468,-446,-99.33,-120
